Season,Name,Team, BB% ,ERA,playerid
2018,Tanner Roark,WSN, 0.0660 ,4.34,8753
2019,Tanner Roark,- - -, 0.0710 ,4.35,8753
2018,Mike Leake,SEA, 0.0430 ,4.36,10130
2016,Marcus Stroman,TOR, 0.0630 ,4.37,13431
2018,Jakob Junis,KCR, 0.0570 ,4.37,13619
2018,Matthew Boyd,DET, 0.0720 ,4.39,15440
2017,German Marquez,COL, 0.0700 ,4.39,15038
2016,Martin Perez,TEX, 0.0890 ,4.39,6902
2016,Josh Tomlin,CLE, 0.0280 ,4.4,9388
2016,Ricky Nolasco,- - -, 0.0540 ,4.42,3830
2019,Merrill Kelly,ARI, 0.0730 ,4.42,11156
2017,Jeff Samardzija,SFG, 0.0380 ,4.42,3254
2019,Joe Musgrove,PIT, 0.0540 ,4.44,12970
2019,Masahiro Tanaka,NYY, 0.0530 ,4.45,15764
2016,Yordano Ventura,KCR, 0.0960 ,4.45,11855
2020,Andrew Heaney,LAA, 0.0680 ,4.45,15423
2016,R.A. Dickey,TOR, 0.0870 ,4.46,1245
2019,Jon Lester,CHC, 0.0680 ,4.46,4930
2015,Wade Miley,BOS, 0.0770 ,4.46,8779
2020,Alec Mills,CHC, 0.0750 ,4.48,13834
2019,Trevor Bauer,- - -, 0.0900 ,4.48,12703
2016,Mike Fiers,HOU, 0.0580 ,4.48,7754
2018,Jake Odorizzi,MIN, 0.0980 ,4.49,6397
2015,Jeff Locke,PIT, 0.0820 ,4.49,2929
2017,Julio Teheran,ATL, 0.0890 ,4.49,6797
2020,Martin Perez,BOS, 0.1070 ,4.5,6902
2018,James Shields,CHW, 0.0900 ,4.53,7059
2015,Trevor Bauer,CLE, 0.1060 ,4.55,12703
2018,Tyler Anderson,COL, 0.0800 ,4.55,12880
2016,Dallas Keuchel,HOU, 0.0680 ,4.55,9434
2015,Taijuan Walker,SEA, 0.0570 ,4.56,11836
2019,Matthew Boyd,DET, 0.0630 ,4.56,15440
2016,Gio Gonzalez,WSN, 0.0770 ,4.57,7448
2019,Homer Bailey,- - -, 0.0760 ,4.57,8362
2017,John Lackey,CHC, 0.0730 ,4.59,1507
2016,Jon Gray,COL, 0.0830 ,4.61,14916
2016,Jimmy Nelson,MIL, 0.1070 ,4.62,10547
2016,Adam Wainwright,STL, 0.0700 ,4.62,2233
2016,Doug Fister,HOU, 0.0800 ,4.64,9425
2017,Rick Porcello,BOS, 0.0540 ,4.65,2717
2020,Patrick Corbin,WSN, 0.0610 ,4.66,9323
2015,Colby Lewis,TEX, 0.0490 ,4.66,1259
2017,Tanner Roark,WSN, 0.0820 ,4.67,8753
2016,Jaime Garcia,STL, 0.0770 ,4.67,8137
2017,Luis Perdomo,SDP, 0.0910 ,4.67,14682
2015,Rubby de la Rosa,ARI, 0.0780 ,4.67,3862
2017,Kevin Gausman,BAL, 0.0870 ,4.68,14107
2019,Jose Quintana,CHC, 0.0620 ,4.68,11423
2016,Mike Leake,STL, 0.0400 ,4.69,10130
2016,Francisco Liriano,- - -, 0.1160 ,4.69,3201
2016,Hector Santiago,- - -, 0.1010 ,4.7,4026
2015,John Danks,CHW, 0.0730 ,4.71,6329
2019,Ivan Nova,CHW, 0.0580 ,4.72,1994
2015,CC Sabathia,NYY, 0.0690 ,4.73,404
2020,Aaron Civale,CLE, 0.0510 ,4.74,19479
2017,Masahiro Tanaka,NYY, 0.0550 ,4.74,15764
2018,Zack Godley,ARI, 0.1020 ,4.74,14862
2019,German Marquez,COL, 0.0490 ,4.76,15038
2018,Nick Pivetta,PHI, 0.0730 ,4.77,15454
2017,Ty Blach,SFG, 0.0620 ,4.78,14361
2017,Clayton Richard,SDP, 0.0690 ,4.79,3551
2016,Chad Bettis,COL, 0.0720 ,4.79,10587
2016,Michael Pineda,NYY, 0.0700 ,4.82,5372
2017,Martin Perez,TEX, 0.0780 ,4.82,6902
2015,Aaron Harang,PHI, 0.0680 ,4.86,1451
2016,Drew Smyly,TBR, 0.0660 ,4.88,11760
2016,Robbie Ray,ARI, 0.0910 ,4.9,11486
2015,Rick Porcello,BOS, 0.0520 ,4.92,2717
2017,Ricky Nolasco,LAA, 0.0740 ,4.92,3830
2015,Jeff Samardzija,CHW, 0.0540 ,4.96,3254
2017,Marco Estrada,TOR, 0.0880 ,4.98,1118
2015,Chris Tillman,BAL, 0.0860 ,4.99,5279
2015,Alfredo Simon,DET, 0.0830 ,5.05,2155
2016,Jered Weaver,LAA, 0.0660 ,5.06,4235
2019,Martin Perez,MIN, 0.0910 ,5.12,6902
2018,Jon Gray,COL, 0.0700 ,5.12,14916
2020,Jon Lester,CHC, 0.0640 ,5.16,4930
2019,Jakob Junis,KCR, 0.0750 ,5.24,13619
2017,Jason Hammel,KCR, 0.0600 ,5.29,4538
2020,Kyle Gibson,TEX, 0.1000 ,5.35,10123
2016,Wade Miley,- - -, 0.0690 ,5.37,8779
2016,Edinson Volquez,KCR, 0.0890 ,5.37,3990
2019,Reynaldo Lopez,CHW, 0.0800 ,5.38,16400
2020,Johnny Cueto,SFG, 0.0940 ,5.4,6893
2017,Jeremy Hellickson,- - -, 0.0680 ,5.43,4371
2018,Dylan Bundy,BAL, 0.0720 ,5.45,12917
2019,Rick Porcello,BOS, 0.0590 ,5.52,2717
2017,Matt Moore,SFG, 0.0850 ,5.52,1890
2016,James Shields,- - -, 0.1000 ,5.85,7059
2018,Lucas Giolito,CHW, 0.1160 ,6.13,15474
2020,Matthew Boyd,DET, 0.0810 ,6.71,15440
