"","Name","Team","IP","FIP","playerid","Command","S_ERA","FIP_Rank","StuffERA_Rank","F_S"
"118","Tarik Skubal","DET",22,8.25,22267,-2.70033819080413,5.5812,129,126,3
"119","Griffin Canning","LAA",20.1,5.42,19867,4.7042271512236,4.476,115,98,17
"120","Frankie Montas","OAK",24.2,5.22,14309,-0.33489087393732,5.0111,113,115,-2
"121","Rich Hill","TBR",25.1,4.65,4806,-2.63050436298522,4.6935,102,109,-7
"122","Kenta Maeda","MIN",23.1,6.2,18498,4.88364874700215,5.4591,124,124,0
"123","Jordan Lyles","TEX",28,6.15,7593,0.00675868670090285,5.7056,123,127,-4
"124","Trevor Cahill","PIT",24.1,3.73,6249,0.736452192547006,4.4829,64,99,-35
"125","Jorge Lopez","BAL",21.2,6.29,14527,-0.316915992666982,4.2083,125,85,40
"126","Kyle Hendricks","CHC",22.2,8.32,12049,-0.221874982608782,6.7684,130,130,0
"127","Matt Shoemaker","MIN",23,7.02,4776,4.08389660427464,5.1853,127,120,7
"128","Brad Keller","KCR",22.1,6.02,15734,-0.287607576446657,5.8157,122,129,-7
"129","Patrick Corbin","WSN",23.1,7.52,9323,1.04865848008839,5.5493,128,125,3
"130","Zach Davies","CHC",23,5.94,13183,2.99563247093044,4.9613,121,112,9
