pitcher,player_name,Pitches,Whiff,xWhiff,In_Whiff,IZ.Pitches,IZ.Swing,IZ.xSwing,IZ,OOZ.Pitches,OOZ.Swing,OOZ.xSwing,OOZ,xwOBA,wOBA,In_wOBA,Command,S_ERA
596101,Justin Shafer,112,0.09821,0.10244,-0.003555881,51,0.64706,0.5798,0.011313536,33,0.27273,0.23248,0.001420179,0.3234,0.4569,0.004630964,3.105213771,4.3021
596112,Robert Stephenson,261,0.19157,0.14466,0.023136921,121,0.64463,0.67429,-0.005988054,65,0.24615,0.29938,-0.004995435,0.3301,0.5727,0.032789,3.613129429,5.1251
596133,Luke Weaver,1288,0.10248,0.11046,-0.002007603,659,0.70561,0.68447,0.016790317,400,0.275,0.34224,-0.015367781,0.3368,0.3719,0.01058988,0.464287768,4.86
596295,Austin Gomber,787,0.09276,0.09948,-0.015046762,404,0.62129,0.64328,-0.026286571,329,0.23404,0.2757,-0.015145286,0.3484,0.2643,-0.019058353,-2.372995518,3.4952
596720,Dovydas Neverauskas,424,0.12264,0.0918,0.017198597,181,0.67403,0.65514,0.0129384,94,0.15957,0.22654,-0.024709299,0.3189,0.3755,0.008050979,-0.672088097,4.3543
598264,Matt Barnes,431,0.11601,0.1159,-0.000945936,215,0.6093,0.67846,-0.054628645,117,0.22222,0.26102,-0.011342178,0.3322,0.2658,-0.002674392,-0.538782005,3.7729
598264,Matthew Barnes,100,0.12,0.14229,-0.000945936,42,0.59524,0.62979,-0.054628645,40,0.3,0.30845,-0.011342178,0.3288,0.4857,-0.002674392,5.840106961,3.2571
598286,Nick Ramirez,225,0.09778,0.10335,-0.004862956,92,0.71739,0.65359,0.029117206,90,0.23333,0.29506,-0.015834649,0.3256,0.3393,0.001591733,1.459509505,4.4128
598287,Noe Ramirez,376,0.10638,0.12486,-0.010609719,179,0.62011,0.65986,-0.030181096,103,0.32039,0.34775,0.008191182,0.3286,0.312,-0.006073832,4.189279622,3.5413
600887,Miguel Del Pozo,110,0.1,0.12958,-0.015607905,46,0.63043,0.6975,-0.016899208,45,0.17778,0.23733,-0.013664079,0.3338,0.4958,0.002236781,-1.131470261,4.647
600917,Jose Leclerc,47,0.12766,0.10742,0.00211402,16,0.6875,0.62874,0.008833579,24,0.125,0.19932,-0.011270001,0.3191,0.355,0.000123637,1.018801724,4.0873
