pitcher,Pitches,Whiff,xWhiff,In_Whiff,IZ.Pitches,IZ.Swing,IZ.xSwing,IZ,OOZ.Pitches,OOZ.Swing,OOZ.xSwing,OOZ,xwOBA,wOBA,In_wOBA,Command,Season,S_ERA,player_name
408241,2020,0.10495,0.09706,0.006903205,996,0.68273,0.66372,0.016895498,581,0.28125,0.27145,0.006090497,0.3359,0.3662,0.014617831,-1.386147497,2016,4.971,Jake Peavy
421685,2843,0.07246,0.10255,-0.028114467,1395,0.681,0.65027,0.024947383,848,0.28108,0.28357,-1.41E-02,0.334,0.3489,0.005047574,0.251539366,2015,4.893,Aaron Harang
424144,729,0.1262,0.09102,0.026899698,363,0.60606,0.64438,-0.041311425,316,0.3224,0.27047,0.028951963,0.3392,0.3155,0.003399209,-2.148324666,2015,3.296,Oliver Perez
424144,722,0.08864,0.09242,0.001684448,371,0.58491,0.67676,-0.062136262,313,0.22792,0.2385,-0.003983262,0.342,0.3341,0.002117813,-4.849431098,2016,4.201,Oliver Perez
424144,600,0.10167,0.09671,0.005303401,339,0.60767,0.68689,-0.057862415,223,0.23372,0.30203,-0.029785678,0.3521,0.3344,0.00172311,-4.556877233,2017,4.177,Oliver Perez
424144,467,0.14561,0.10194,0.030230078,241,0.57676,0.67866,-0.063417203,201,0.32743,0.29501,0.035725143,0.3434,0.1805,-0.007030875,-2.620829666,2018,2.72,Oliver Perez
424144,652,0.13037,0.10861,0.015942049,355,0.65634,0.65854,-0.007452254,250,0.28956,0.29068,0.007240737,0.3435,0.3298,0.003400617,-1.297971652,2019,4.154,Oliver Perez
425386,2432,0.0625,0.10582,-0.0350487,1234,0.65154,0.6545,-0.002847102,745,0.26377,0.29816,-3.78E-02,0.3428,0.3788,0.01084337,-0.401972953,2015,5.275,Jeremy Guthrie
425426,831,0.05295,0.08557,-0.027343894,449,0.71715,0.65107,0.044987194,263,0.22251,0.25818,-0.028911322,0.3443,0.3481,-0.004931953,-3.409920663,2016,4.986,Chien-Ming Wang
425492,898,0.1314,0.10501,0.025696078,475,0.64632,0.65977,-0.009153008,288,0.32388,0.31831,-0.000622433,0.3384,0.2597,-0.007360436,1.247736562,2015,2.67,Ryan Madson
