"","Season","Name","Team","Age","PA","BB%","K%","BB/K","ISO","BABIP","SB","CS","Spd","wSB","GB/FB","GB%","LD%","FB%","IFFB%","SwStr%","Oppo%","Cent%","Pull%","Level","wRC.","PlayerId","SB_PA","Key","PlayerList"
"27",2021,"Mason Williams","NYM",29,172,0.0755814,0.22093023,0.34210526,0.12337662,0.34482759,6,0,5.46942976189014,1.00384072680026,0.97777778,0.37288136,0.24576271,0.38135593,0.2,0.10793651,0.3,0.3,0.4,"AAA",97.2991898459549,"11859",0.0348837209302326,"11859NYMAAA","Mason Williams NYM-AAA"
"28",2021,"Orlando Calixte","NYM",29,187,0.09090909,0.18181818,0.5,0.08433735,0.2556391,11,3,5.79674172896495,0.662986601702868,1.46808511,0.51492537,0.13432836,0.35074627,0.08510638,0.11292719,0.37226277,0.27007299,0.35766423,"AAA",57.2741511310534,"11905",0.0588235294117647,"11905NYMAAA","Orlando Calixte NYM-AAA"
"29",2021,"Nick Martini","CHC",31,245,0.13877551,0.20408163,0.68,0.21078432,0.32638889,2,1,5.81223740609443,-0.385507780127227,1.45833333,0.46357616,0.21854305,0.31788079,0.125,0.08209693,0.28571429,0.2987013,0.41558442,"AAA",139.540667657334,"12005",0.00816326530612245,"12005CHCAAA","Nick Martini CHC-AAA"
"30",2021,"Juniel Querecuto","ARI",28,253,0.06324111,0.15810277,0.4,0.15677966,0.3015873,4,1,5.08340588553077,0.163416691124439,1.08333333,0.40206186,0.22680412,0.37113402,0.13888889,0.1196868,0.30612245,0.21938776,0.4744898,"AAA",80.1627245073366,"12140",0.0158102766798419,"12140ARIAAA","Juniel Querecuto ARI-AAA"
"31",2021,"Jorge Bonifacio","PHI",28,198,0.12121212,0.20707071,0.58536585,0.28654971,0.25833333,1,0,3.0912166261238,0.133404670748859,0.35135135,0.2,0.23076923,0.56923077,0.27027027,0.11533587,0.31060606,0.28030303,0.40909091,"AA",131.561375252907,"12174",0.00505050505050505,"12174PHIAA","Jorge Bonifacio PHI-AA"
"32",2021,"Jorge Bonifacio","PHI",28,78,0.17948718,0.17948718,1,0.27419355,0.39130435,2,2,6.63932559015008,-0.617410455830395,0.54166667,0.27083333,0.22916667,0.5,0.16666667,0.09275362,0.18367347,0.32653061,0.48979592,"AAA",183.155182306569,"12174",0.0256410256410256,"12174PHIAAA","Jorge Bonifacio PHI-AAA"
"33",2021,"Jake Hager","SEA",28,112,0.09821429,0.22321429,0.44,0.25,0.23188406,4,0,5.5834886276917,0.761797733604908,0.93548387,0.39189189,0.18918919,0.41891892,0.16129032,0.11764706,0.33333333,0.29333333,0.37333333,"AAA",82.6194885067652,"12198",0.0357142857142857,"12198SEAAAA","Jake Hager SEA-AAA"
"34",2021,"Jake Hager","MIL",28,80,0.1,0.1875,0.53333333,0.18309859,0.23636364,1,0,5.07519410845675,0.138972667977213,1.09090909,0.42857143,0.17857143,0.39285714,0.27272727,0.10638298,0.28070175,0.22807018,0.49122807,"AAA",78.2759738267964,"12198",0.0125,"12198MILAAA","Jake Hager MIL-AAA"
"35",2021,"Scott Schebler","LAA",30,239,0.05857741,0.28870293,0.20289855,0.20093458,0.28676471,3,0,4.09938580017891,0.509042203426361,1.22641509,0.45138889,0.18055556,0.36805556,0.28301887,0.19976359,0.28767123,0.18493151,0.52739726,"AAA",76.4055315184734,"12225",0.0125523012552301,"12225LAAAAA","Scott Schebler LAA-AAA"
"36",2021,"Jace Peterson","MIL",31,64,0.140625,0.296875,0.47368421,0.34545454,0.25806452,1,0,4.71769143460736,0.143331763334572,1.6,0.47058824,0.23529412,0.29411765,0,0.13669065,0.22222222,0.36111111,0.41666667,"AAA",138.790768169281,"12325",0.015625,"12325MILAAA","Jace Peterson MIL-AAA"
