batter,Season,Pitches,Whiff,xWhiff,In_Whiff,OOZ.Swing,OOZ.xSwing,OOZ,IZ.Swing,IZ.xSwing,IZ,wOBA,xwOBA,In_wOBA,xwOBA_Swing,xwOBA_Take,SAE,Name
460099,2016,962,0.10915,0.10291,-0.00691840247165886,0.19649,0.26373,-0.0759258854391059,0.61954,0.66281,-0.0255413531038598,0.3073,0.3383,4.33696246735239e-4,0.3819,0.3076,112.89,Nolan Reimold
460131,2015,246,0.14228,0.10655,0.0250212197604098,0.33333,0.29664,0.0173863811776808,0.69811,0.66282,0.0395338808788233,0.309,0.3283,0.0244547161337737,0.3606,0.2976,109.84,Brian Bogusevic
460269,2015,435,0.07126,0.10459,-0.0391317439739144,0.22656,0.25586,-0.0398629488716823,0.54701,0.64514,-0.0751938047522675,0.3377,0.3422,0.00342791978325708,0.3755,0.3203,109.73,Chris Gimenez
460269,2016,582,0.11168,0.11198,-0.00765733777015325,0.31013,0.30751,-0.00960203622939683,0.59091,0.65779,-0.045981884298422,0.2636,0.3374,-0.0137410399803207,0.3601,0.3173,106.73,Chris Gimenez
460269,2017,948,0.10759,0.10429,-0.0059338387347772,0.31522,0.29388,0.0276591523170196,0.58936,0.65353000000000006,-0.055594299723995,0.3259,0.3389,-0.00167971561583926,0.3713,0.3155,109.56,Chris Gimenez
460269,2018,276,0.1087,0.10995,-0.013890004388317,0.32432,0.38492,-0.0365320105705753,0.66897,0.66727,0.0023946821630453,0.3038,0.339,-0.00835621198662859,0.3723,0.307,109.82,Chris Gimenez
460576,2015,1726,0.1292,0.10909,0.0116748071724828,0.37879,0.26831,0.0859138202058173,0.7724,0.64461,0.130930311709513,0.3229,0.3266,0.0219241148387252,0.3621,0.2835,110.87,Carlos Gomez
460576,2016,1720,0.16221,0.1109,0.0408263186909629,0.34028,0.28766,0.0404821863101918,0.71056,0.6494,0.0739227791969362,0.3038,0.3287,0.0240865638456115,0.3589,0.2956,109.19,Carlos Gomez
460576,2017,1565,0.16166,0.10944,0.0355282843395283,0.35116000000000003,0.27892,0.0721006925231294,0.77429,0.64519,0.124189030023986,0.351,0.3254,0.0695863191870219,0.354,0.2896,108.79,Carlos Gomez
460576,2018,1427,0.15277,0.11203,0.0241091252580855,0.35129,0.27285,0.0816882045905365,0.81675,0.65313,0.16584921188999,0.2883,0.3207,-0.0135918679163029,0.3532,0.2767,110.13,Carlos Gomez
460576,2019,362,0.16851,0.11178,0.0323077788463234,0.41905,0.32868000000000003,0.0813643079873577,0.85714,0.66012,0.187509278191751,0.2747,0.3297,-0.00591639070077037,0.3635,0.2802,110.25,Carlos Gomez
461235,2015,2045,0.13741,0.10245,0.0254552029898213,0.31924,0.30077,-0.00230526522234761,0.70758,0.65878,0.0617972562543452,0.3096,0.3355,0.0153887357500921,0.3682,0.3037,109.75,Brandon Moss
461235,2016,1799,0.16509,0.10515,0.0485836974996203,0.33102,0.29159,0.0199655961272717,0.73171,0.66527,0.077101723255344,0.3364,0.3329,0.0510489438503622,0.3666,0.298,110.12,Brandon Moss
461235,2017,1627,0.15857,0.10936,0.0370952332541038,0.27837,0.30727,-0.0250044743581869,0.71336,0.66679,0.0525920306362545,0.3076,0.3354,0.0200495038072676,0.3695,0.3037,110.17,Brandon Moss
461314,2015,2511,0.12505,0.10455,0.0110681865861183,0.40061,0.2749,0.0970732531291854,0.69554,0.64217,0.0646428996700618,0.3353,0.3315,0.0427854633870363,0.3624,0.2993,109.32,Matt Kemp
461314,2016,2415,0.15072,0.10534,0.0354223564305447,0.44197,0.27876,0.142354389616836,0.73791,0.6321,0.119298187325991,0.3347,0.3317,0.0455211948867038,0.3613,0.2955,108.92,Matt Kemp
461314,2017,1617,0.14842,0.10549,0.028195902751944,0.40704,0.26202,0.134848748148556,0.7919,0.63342,0.15949610004782,0.3424,0.324,0.0449348541923111,0.3577,0.2831,110.4,Matt Kemp
461314,2018,1779,0.14109,0.10769,0.0168857487154946,0.36555,0.29809,0.0751093454566141,0.72845,0.63652,0.0971347950611481,0.3497,0.3312,0.0500604235554179,0.3665,0.2944,110.66,Matt Kemp
